Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.82876511142217E-19,-3.9103173627471E-17,-2.94702344182297E-19,0,0,0,28.0662381444296,0.296896534569809,2.11758236813575E-17,2.38416773070476E-18,1.05548619608426,-3.19755707915849E-17,1.25835080513348,0,0,0,0,0,0,package://M20/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/base_link.STL,,body-1,o_base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fr_hipx,-0.0054740256322946,-0.0177712204335339,-2.41225058265449E-09,0,0,0,1.23746290005029,0.00273234590653806,-0.000120378694442164,2.06183259348873E-10,0.00180848997899044,-2.07563167917815E-10,0.00291064200174618,0,0,0,0,0,0,package://M20/meshes/fr_hipx.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/fr_hipx.STL,,link_1-1,o_fr_hipx_hipy,a_fr_hr_hipx,fr_hipx_joint,revolute,0.31,-0.135,0,0,0,0,base_link,-1,0,0,76.4,22.4,-0.61,0.44,,,,,,,,
fr_hipy,5.55111512312578E-17,-0.119159214931329,-0.182590201198265,0,0,0,1.0638493162351,0.0106473881810993,-3.96320662615578E-20,-1.35110345345981E-18,0.0110061153476815,0.00111962293292718,0.00150686601754083,0,0,0,0,0,0,package://M20/meshes/fr_hipy.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/fr_hipy.STL,,link_2-1,o_fr_hipx_hipy,a_fr_fl_hipy,fr_hipy_joint,revolute,0,0,0,0,0,0,fr_hipx,0,-1,0,76.4,22.4,-2.58,2.29,,,,,,,,
fr_knee,5.55111512312578E-17,-0.00255431825036878,-0.188624697148323,0,0,0,1.00200572106272,0.00944122559350796,-1.6453873222473E-19,-1.50662569435777E-18,0.00981010556942381,0.000771042433360827,0.00127553709018755,0,0,0,0,0,0,package://M20/meshes/fr_knee.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/fr_knee.STL,,link_3-1,o_fr_knee,a_fr_fl_knee,fr_knee_joint,revolute,0,-0.09,-0.25,0,0,0,fr_hipy,0,-1,0,76.4,22.4,-2.79,2.81,,,,,,,,
fr_wheel,0,0,0,0,0,0,1.25663706143592,0.00330914426178126,1.94799251494996E-20,-9.64420693682812E-37,0.0062831853071796,3.84014321630751E-19,0.00330914426178125,0,0,0,0,0,0,package://M20/meshes/fr_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/fr_wheel.STL,,link_4-1,o_fr_wheel,a_fr_fl_wheel,fr_wheel_joint,continuous,0,-0.07,-0.25,0,0,0,fr_knee,0,-1,0,21.6,79.3,,,,,,,,,,
fl_hipx,-0.00547402563229454,0.0177712204335339,2.41225060670613E-09,0,0,0,1.23746290005029,0.00273234590653806,0.000120378694442164,-2.06183259356243E-10,0.00180848997899044,-2.07563167954501E-10,0.00291064200174618,0,0,0,0,0,0,package://M20/meshes/fl_hipx.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/fl_hipx.STL,,link_1-2,o_fl_hipx_hipy,a_fl_hl_hipx,fl_hipx_joint,revolute,0.31,0.135,0,0,0,0,base_link,-1,0,0,76.4,22.4,-0.44,0.61,,,,,,,,
fl_hipy,-5.55111512312578E-17,0.119159214931329,-0.182590201198265,0,0,0,1.0638493162351,0.0106473881810993,-1.86684298990155E-19,1.20986807843805E-18,0.0110061153476815,-0.00111962293292717,0.00150686601754082,0,0,0,0,0,0,package://M20/meshes/fl_hipy.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/fl_hipy.STL,,link_2-2,o_fl_hipx_hipy,a_fr_fl_hipy,fl_hipy_joint,revolute,0,0,0,0,0,0,fl_hipx,0,-1,0,76.4,22.4,-2.58,2.29,,,,,,,,
fl_knee,-5.55111512312578E-17,0.00255431825036873,-0.188624697148323,0,0,0,1.00200572106272,0.00944122559350795,-1.20727987887933E-19,1.76233191325205E-18,0.0098101055694238,-0.000771042433360828,0.00127553709018754,0,0,0,0,0,0,package://M20/meshes/fl_knee.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/fl_knee.STL,,link_3-2,o_fl_knee,a_fr_fl_knee,fl_knee_joint,revolute,0,0.09,-0.25,0,0,0,fl_hipy,0,-1,0,76.4,22.4,-2.79,2.81,,,,,,,,
fl_wheel,0,0,1.11022302462516E-16,0,0,0,1.25663706143592,0.00330914426178125,-1.94799251494995E-20,-1.57768069079104E-36,0.00628318530717958,-3.8401432163075E-19,0.00330914426178125,0,0,0,0,0,0,package://M20/meshes/fl_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/fl_wheel.STL,,link_4-2,o_fl_wheel,a_fr_fl_wheel,fl_wheel_joint,continuous,0,0.07,-0.25,0,0,0,fl_knee,0,-1,0,21.6,79.3,,,,,,,,,,
hr_hipx,0.0054740256322946,-0.0177712204335339,2.41225057364066E-09,0,0,0,1.23746290005029,0.00273234590653806,0.000120378694442164,2.06183259356243E-10,0.00180848997899044,2.07563167954501E-10,0.00291064200174618,0,0,0,0,0,0,package://M20/meshes/hr_hipx.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/hr_hipx.STL,,link_1-4,o_hr_hipx_hipy,a_fr_hr_hipx,hr_hipx_joint,revolute,-0.31,-0.135,0,0,0,0,base_link,-1,0,0,76.4,22.4,-0.61,0.44,,,,,,,,
hr_hipy,1.11022302462516E-16,-0.119159214931329,-0.182590201198265,0,0,0,1.0638493162351,0.0106473881810993,-1.92929911278894E-19,-1.17886023461066E-18,0.0110061153476815,0.00111962293292717,0.00150686601754082,0,0,0,0,0,0,package://M20/meshes/hr_hipy.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/hr_hipy.STL,,link_2-4,o_hr_hipx_hipy,a_hr_hl_hipy,hr_hipy_joint,revolute,0,0,0,0,0,0,hr_hipx,0,-1,0,76.4,22.4,-2.29,2.58,,,,,,,,
hr_knee,-5.55111512312578E-17,-0.00255431825036875,-0.188624697148323,0,0,0,1.00200572106272,0.00944122559350795,-1.51094884090878E-19,-1.79264627030791E-18,0.0098101055694238,0.000771042433360828,0.00127553709018754,0,0,0,0,0,0,package://M20/meshes/hr_knee.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/hr_knee.STL,,link_3-4,o_hr_knee,a_hr_hl_knee,hr_knee_joint,revolute,0,-0.09,-0.25,0,0,0,hr_hipy,0,-1,0,76.4,22.4,-2.81,2.79,,,,,,,,
hr_wheel,0,-1.11022302462516E-16,0,0,0,0,1.25663706143592,0.00330914426178125,-1.94799251494995E-20,1.57768069079104E-36,0.00628318530717958,3.8401432163075E-19,0.00330914426178125,0,0,0,0,0,0,package://M20/meshes/hr_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/hr_wheel.STL,,link_4-4,o_hr_wheel,a_hr_hl_wheel,hr_wheel_joint,continuous,0,-0.07,-0.25,0,0,0,hr_knee,0,-1,0,21.6,79.3,,,,,,,,,,
hl_hipx,0.0054740256322946,0.0177712204335339,-2.41225054958902E-09,0,0,0,1.23746290005029,0.00273234590653806,-0.000120378694442164,-2.06183259348873E-10,0.00180848997899044,2.07563167917815E-10,0.00291064200174618,0,0,0,0,0,0,package://M20/meshes/hl_hipx.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/hl_hipx.STL,,link_1-3,o_hl_hipx_hipy,a_fl_hl_hipx,hl_hipx_joint,revolute,-0.31,0.135,0,0,0,0,base_link,-1,0,0,76.4,22.4,-0.44,0.61,,,,,,,,
hl_hipy,0,0.119159214931329,-0.182590201198265,0,0,0,1.0638493162351,0.0106473881810993,-2.05356505994665E-19,1.47390548699389E-18,0.0110061153476815,-0.00111962293292717,0.00150686601754082,0,0,0,0,0,0,package://M20/meshes/hl_hipy.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/hl_hipy.STL,,link_2-3,o_hl_hipx_hipy,a_hr_hl_hipy,hl_hipy_joint,revolute,0,0,0,0,0,0,hl_hipx,0,-1,0,76.4,22.4,-2.29,2.58,,,,,,,,
hl_knee,-2.22044604925031E-16,0.00255431825036875,-0.188624697148323,0,0,0,1.00200572106272,0.00944122559350795,-1.56685138157359E-19,1.91903268783741E-18,0.0098101055694238,-0.000771042433360828,0.00127553709018754,0,0,0,0,0,0,package://M20/meshes/hl_knee.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/hl_knee.STL,,link_3-3,o_hl_knee,a_hr_hl_knee,hl_knee_joint,revolute,0,0.09,-0.25,0,0,0,hl_hipy,0,-1,0,76.4,22.4,-2.81,2.79,,,,,,,,
hl_wheel,0,0,1.11022302462516E-16,0,0,0,1.25663706143592,0.00330914426178125,1.94799251494997E-20,9.65813532041171E-37,0.00628318530717958,-3.8401432163075E-19,0.00330914426178125,0,0,0,0,0,0,package://M20/meshes/hl_wheel.STL,1,1,1,1,0,0,0,0,0,0,package://M20/meshes/hl_wheel.STL,,link_4-3,o_hl_wheel,a_hr_hl_wheel,hl_wheel_joint,continuous,0,0.07,-0.25,0,0,0,hl_knee,0,-1,0,21.6,79.3,,,,,,,,,,
